airport,year,passengers
Hartsfield-Jackson International Airport,2020,42918685
Hartsfield-Jackson International Airport,2019,53505795
Hartsfield-Jackson International Airport,2018,51866464
Hartsfield-Jackson International Airport,2017,50251964
Hartsfield-Jackson International Airport,2016,50501858
Hartsfield-Jackson International Airport,2015,49340732
Hartsfield-Jackson International Airport,2014,46604273
Hartsfield-Jackson International Airport,2013,45308407
Hartsfield-Jackson International Airport,2012,45798809
Hartsfield-Jackson International Airport,2011,44414121
Hartsfield-Jackson International Airport,2010,43130585
Hartsfield-Jackson International Airport,2009,42280868
Dallas/Fort Worth International Airport,2020,39364990
Dallas/Fort Worth International Airport,2019,35778573
Dallas/Fort Worth International Airport,2018,32800721
Dallas/Fort Worth International Airport,2017,31816933
Dallas/Fort Worth International Airport,2016,31283579
Dallas/Fort Worth International Airport,2015,31589832
Dallas/Fort Worth International Airport,2014,30766940
Dallas/Fort Worth International Airport,2013,29038128
Dallas/Fort Worth International Airport,2012,28022877
Dallas/Fort Worth International Airport,2011,27518358
Dallas/Fort Worth International Airport,2010,27100656
Dallas/Fort Worth International Airport,2009,26663984
Denver International Airport,2020,33741129
Denver International Airport,2019,33592945
Denver International Airport,2018,31363573
Denver International Airport,2017,29809097
Denver International Airport,2016,28267394
Denver International Airport,2015,26280043
Denver International Airport,2014,26000591
Denver International Airport,2013,25496885
Denver International Airport,2012,25799832
Denver International Airport,2011,25667499
Denver International Airport,2010,25241962
Denver International Airport,2009,24013669
O'Hare International Airport,2020,30860251
O'Hare International Airport,2019,40871223
O'Hare International Airport,2018,39874879
O'Hare International Airport,2017,38593028
O'Hare International Airport,2016,37589899
O'Hare International Airport,2015,36305668
O'Hare International Airport,2014,33686811
O'Hare International Airport,2013,32317835
O'Hare International Airport,2012,32171743
O'Hare International Airport,2011,31892301
O'Hare International Airport,2010,32171831
O'Hare International Airport,2009,31135732
Los Angeles International Airport,2020,28779527
Los Angeles International Airport,2019,42939104
Los Angeles International Airport,2018,42626783
Los Angeles International Airport,2017,41232432
Los Angeles International Airport,2016,39636042
Los Angeles International Airport,2015,36351226
Los Angeles International Airport,2014,34314197
Los Angeles International Airport,2013,32425892
Los Angeles International Airport,2012,31326268
Los Angeles International Airport,2011,30528737
Los Angeles International Airport,2010,28857755
Los Angeles International Airport,2009,27439897
